Country Name,Lon,Lat,Value
Afghanistan,67.709953,33.93911,9.59
Albania,20.168331,41.153332,10.08
Algeria,1.659626,28.033886,6.73
Andorra,1.601554,42.546245,7.97
Angola,17.873887,-11.202692,3.94
Antigua and Barbuda,-61.796428,17.060816,13.17
Argentina,-63.616672,-38.416097,5.5
Armenia,45.038189,40.069099,7.11
Aruba,-69.968338,12.52111,11.62
Australia,133.775136,-25.274398,5.07
Austria,14.550072,47.516231,6.35
Azerbaijan,47.576927,40.143105,7.11
Bahrain,50.637772,25.930414,16.52
Bangladesh,90.356331,23.684994,8.38
Barbados,-59.543198,13.193887,13.57
Belarus,27.953389,53.709807,5.18
Belgium,4.469936,50.503887,4.29
Belize,-88.49765,17.189877,17.11
Benin,2.315834,9.30769,0.99
Bermuda,-64.75737,32.321384,13
Bhutan,90.433601,27.514162,9.75
Bolivia,-63.588653,-16.290154,6.89
Bosnia and Herzegovina,17.679076,43.915886,10.08
Botswana,24.684866,-22.328474,4.81
Brazil,-51.92528,-14.235004,8.11
British Virgin Islands,-64.639968,18.420695,13.67
Bulgaria,25.48583,42.733883,5.81
Burkina Faso,-1.561593,12.238333,2.42
Burundi,29.918886,-3.373056,6.05
Cambodia,104.990963,12.565679,4
Cameroon,12.354722,7.369722,7.2
Canada,-106.346771,56.130366,7.37
Cayman Islands,-80.566956,19.513469,13.22
Central African Republic,20.939444,6.611111,6.1
Chad,18.732207,15.454166,6.1
Chile,-71.542969,-35.675147,8.46
China,104.195397,35.86166,9.74
Colombia,-74.297333,4.570868,7.44
Comoros,43.872219,-11.875001,11.88
Costa Rica,-83.753428,9.748917,8.78
Croatia,15.2,45.1,5.59
Cuba,-77.781167,21.521757,8.27
Cyprus,33.429859,35.126413,9.24
Czech Republic,15.472962,49.817492,6.82
Denmark,9.501785,56.26392,6.41
Djibouti,42.590275,11.825138,6.05
Dominica,-61.370976,15.414999,11.62
Dominican Republic,-70.162651,18.735693,8.2
Ecuador,-78.183406,-1.831239,5.55
Egypt,30.802498,26.820553,17.31
El Salvador,-88.89653,13.794185,8.87
Equatorial Guinea,10.267895,1.650801,7.78
Eritrea,39.782334,15.179384,6.05
Estonia,25.013607,58.595272,4.02
Ethiopia,40.489673,9.145,7.47
Fiji,179.414413,-16.578193,14.49
Finland,25.748151,61.92411,5.76
France,2.213749,46.227638,4.77
Gabon,11.609444,-0.803689,7.2
Georgia,43.356892,42.315407,7.11
Germany,10.451526,51.165691,8.31
Ghana,-1.023194,7.946527,4.97
Greece,21.824312,39.074208,4.55
Greenland,-42.604303,71.706936,2.16
Grenada,-61.604171,12.262776,10.71
Guam,144.793731,13.444304,21.52
Guatemala,-90.230759,15.783471,10.18
Guinea,-9.696645,9.945587,2.42
Guyana,-58.93018,4.860416,11.62
Haiti,-72.285215,18.971187,6.65
Honduras,-86.241905,15.199999,7.21
Hungary,19.503304,47.162494,7.55
Iceland,-19.020835,64.963051,5.31
India,78.96288,20.593684,10.39
Indonesia,113.921327,-0.789275,6.32
Iran,53.688046,32.427908,9.59
Iraq,43.679291,33.223191,8.83
Ireland,-8.24389,53.41291,3.28
Israel,34.851612,31.046051,6.74
Italy,12.56738,41.87194,4.78
Jamaica,-77.297508,18.109581,11.28
Japan,138.252924,36.204824,5.72
Jordan,36.238414,30.585164,11.75
Kazakhstan,66.923684,48.019573,7.11
Kenya,37.906193,-0.023559,2.92
Kiribati,-168.734039,-3.370417,22.66
Kuwait,47.481766,29.31166,15.84
Latvia,24.603189,56.879635,4.91
Lebanon,35.862285,33.854721,12.71
Lesotho,28.233608,-29.609988,3.94
Liberia,-9.429499,6.428055,2.42
Libya,17.228331,26.3351,10.43
Liechtenstein,9.555373,47.166,7.77
Lithuania,23.881275,55.169438,3.67
Luxembourg,6.129583,49.815273,4.42
Madagascar,46.869107,-18.766947,3.94
Malawi,34.301525,-13.254308,3.94
Malaysia,101.975766,4.210484,16.74
Maldives,73.22068,3.202778,9.19
Mali,-3.996166,17.570692,2.42
Malta,14.375416,35.937496,8.83
Marshall Islands,171.184478,7.131474,30.53
Mauritania,-10.940835,21.00789,2.42
Mauritius,57.552152,-20.348404,22.02
Mexico,-102.552784,23.634501,13.06
Moldova,28.369885,47.411631,5.72
Monaco,7.412841,43.750298,5.46
Mongolia,103.846656,46.862496,4.82
Montenegro,19.37439,42.708678,10.08
Morocco,-7.09262,31.791702,7.14
Mozambique,35.529562,-18.665695,3.3
Namibia,18.49041,-22.95764,3.94
Nauru,166.931503,-0.522778,24.07
Nepal,84.124008,28.394857,7.26
Netherlands,5.291266,52.132633,5.29
New Caledonia,165.618042,-20.904305,23.36
New Zealand,174.885971,-40.900557,8.08
Nicaragua,-85.207229,12.865416,11.47
Niger,8.081666,17.607789,2.42
Nigeria,8.675277,9.081999,2.42
Norway,8.468946,60.472024,5.31
Oman,55.923255,21.512583,12.61
Pakistan,69.345116,30.375321,8.35
Palau,134.58252,7.51498,15.89
Panama,-80.782127,8.537981,8.33
Papua New Guinea,143.95555,-6.314993,17.65
Paraguay,-58.443832,-23.442503,8.27
Peru,-75.015152,-9.189967,5.95
Philippines,121.774017,12.879721,7.07
